Nodo	dominant_outward_orientation_1	dominant_outward_orientation_2	dominant_outward_orientation_3	dominant_inward_orientation_1	dominant_inward_orientation_2	dist_dominant_outward_1	dist_dominant_outward_2	dist_dominant_outward_3	InStrength	OutStrength	NetworkDivergence	id	lat	lon	normal_InStrength	normal_OutStrength	DegreeCentrality	Clustering	ClosenessCentrality	BetweennessCentrality	StructuralHolesConstraint	global_clustering	normal_Degree	normal_Clustering	normal_ClosenessCentrality	normal_BetweennessCentrality	normal_StructuralHolesConstraint
11	225			315		3.802269			.0008099352051836	.0012033323048442	.0003933970996606	11	49	6.5	.14685315	.20259741	.036745406824147	.2396103896103896	.3610518834399432	.0001368079678213	.0256225728592863	.293214218035591	.13126491	.35941559	.3795948	.0055885878	.019426212
12	225			315		4.0339594			.0008099352051836	.0007405121875964	-.0000694230175872	12	49	6.75	.14685315	.12467533	.0452755905511811	.273231031543052	.370983446932814	.0002267001789705	.0230324074314964	.293214218035591	.16229117	.40984654	.41705918	.0092606731	.016819576
13	225			315		5.3457465			.0010644862696699	.0006170934896637	-.0004473927800062	13	49	7	.19300699	.1038961	.0413385826771654	.2606246799795187	.3691860465116279	.0001992214478846	.0241124636639078	.293214218035591	.14797136	.39093703	.41027895	.0081381705	.0179065
14	225			315		5.350903			.0004628201172478	.0006093798210429	.0001465597037951	14	49	7.25	.083916083	.1025974	.041994750656168	.2584325396825397	.3721611721611722	.0001706669093779	.0236628685933749	.293214218035591	.15035799	.38764882	.42150187	.0069717211	.017454045
15	180			315		2.610744			.0002699784017279	.0009950632520827	.0007250848503548	15	49	7.5	.048951048	.16753247	.0203412073490814	.3290322580645161	.3545835272219637	.0000583071993751	.0416326231973177	.293214218035591	.071599044	.49354839	.35519451	.0023818417	.035538074
16	180			315		3.0180328			.0002005553841407	.0008099352051836	.0006093798210429	16	49	7.75	.036363635	.13636364	.05249343832021	.3072784810126583	.3816679188580015	.0004032559050994	.0224035324149997	.293214218035591	.18854415	.46091771	.45736372	.016472952	.016186701
17	180			315		3.2043245			.0004319654427646	.0010721999382907	.0006402344955261	17	49	8	.07832168	.18051948	.0741469816272966	.2744943109987358	.3862138874809934	.0007945661806992	.0182788841578408	.293214218035591	.26730311	.41174147	.47451228	.032457925	.012035822
18	180			270	315	3.4004881			.0001465597037951	.0014038876889849	.0012573279851898	18	49	8.25	.026573427	.23636363	.0564304461942257	.2960328317373461	.3774145616641902	.0002521956852962	.020948840135024	.293214218035591	.20286396	.44404924	.44131899	.010302161	.014722758
19	180			315		3.4449873			7.71366862080e-06	.0026149336624499	.0026072199938291	19	49	8.5	.0013986015	.44025975	.0282152230971129	.2846068660022149	.3835892272841681	.0001916947685431	.0320295789174989	.293214218035591	.10023867	.42691031	.46461141	.0078307064	.025873963
20	180			315		3.5988708			7.71366862080e-06	.0026149336624499	.0026072199938291	20	49	8.75	.0013986015	.44025975	.0282152230971129	.2846068660022149	.3835892272841681	.0001916947685431	.0320295789174989	.293214218035591	.10023867	.42691031	.46461141	.0078307064	.025873963
21	180			315		3.7214725			.0000154273372416	.0021906818883061	.0021752545510645	21	49	9	.0027972029	.36883116	.0643044619422572	.2556280244056385	.3962558502340094	.0006503654987281	.0183445152530864	.293214218035591	.23150358	.38344204	.51239312	.026567347	.012101871
22	180			315		3.8297813			.0000154273372416	.0024143782783092	.0023989509410676	22	49	9.25	.0027972029	.40649351	.0616797900262467	.2720201326927477	.3956386292834891	.0006033807259284	.0196809121755613	.293214218035591	.22195704	.40803021	.51006478	.024648026	.013446767
23	180			315		4.2185311			.0000848503548288	.0013190373341561	.0012341869793274	23	49	9.5	.015384615	.22207792	.0328083989501312	.2546938775510204	.3601134215500945	.0000705472980203	.0275700739586155	.293214218035591	.11694511	.38204083	.37605467	.002881848	.021386098
24	180			225		3.8713329			.0004782474544894	.0005322431348349	.0000539956803456	24	49	9.75	.086713284	.08961039	.0164041994750656	.2566666666666667	.3811905952976488	.0000917128086524	.0473223391856067	.293214218035591	.057279237	.38499999	.45556316	.0037464565	.041263975
25	180			225		3.8045826			.0002776920703487	.0006788028386301	.0004011107682814	25	49	10	.050349649	.11428571	.0242782152230971	.3273273273273273	.3663461538461538	.000101337893213	.0380237330660979	.293214218035591	.085918851	.490991	.39956614	.0041396399	.031906236
26	180			225		4.2019224			.0001079913606911	.0014193150262265	.0013113236655353	26	49	10.25	.01958042	.23896104	.0242782152230971	.2792792792792793	.391170431211499	.0001912546028463	.0365625234970792	.293214218035591	.085918851	.41891891	.49320963	.0078127263	.030435733
27	180			180		5.0205402			.0000308546744832	.0007713668620796	.0007405121875964	27	49	10.5	.0055944058	.12987013	.0590551181102362	.1585518102372035	.4015810276679842	.0019312469428426	.0184854960130303	.293214218035591	.21241049	.23782772	.53248107	.078891188	.012243749
28	180			180		5.3272691			7.71366862080e-06	.0018435668003703	.0018358531317495	28	49	10.75	.0013986015	.31038961	.0341207349081365	.2337858220211161	.3774145616641902	.0002206442032524	.0264964907537018	.293214218035591	.12171838	.35067874	.44131899	.0090132868	.020305688
29	180					5.3202181			0	.0010644862696699	.0010644862696699	29	49	11	0	.17922078	.0131233595800525	.5263157894736842	.3287316652286454	.0000101382739751	.0669566897911368	.293214218035591	.045346063	.78947371	.25767469	.00041414719	.061023187
30	315			315		4.555675			.0001002776920703	.0003548287565566	.0002545510644863	30	49	11.25	.018181818	.05974026	.0223097112860892	.320855614973262	.3736209855356705	.0003712163875077	.0412217388828598	.293214218035591	.078758948	.48128343	.42700866	.015164142	.035124578
31	315			315		3.8461807			.0001388460351743	.0003933970996606	.0002545510644863	31	49	11.5	.025174825	.066233769	.0341207349081365	.1530920060331825	.4117805998378817	.0012681629002072	.0268572633069888	.293214218035591	.12171838	.22963801	.57095641	.051804289	.020668754
32	225			315		2.16748			.0002545510644863	.0000308546744832	-.0002236963900031	32	49	11.75	.046153847	.0051948051	.0118110236220472	.2679738562091503	.3493810178817056	.0000816265407518	.0745433923770903	.293214218035591	.040572792	.40196079	.33556932	.0033344338	.068658136
33	225			315		2.2479258			.0002236963900031	.0000231410058624	-.0002005553841407	33	49	12	.040559441	.0038961039	.0249343832020997	.1507823613086771	.3741713724527375	.0006798034058299	.0388100889521223	.293214218035591	.088305488	.22617353	.42908484	.027769882	.032697592
34	180			270		6.8436203			.0002314100586239	.0002545510644863	.0000231410058624	34	49	12.25	.041958041	.042857144	.0137795275590551	.2142857142857143	.3407871198568873	.000074536968347	.0624559437931497	.293214218035591	.047732696	.32142857	.30315095	.0030448255	.056493819
35	180			180		6.8959775			.0001234186979327	.0010721999382907	.0009487812403579	35	49	12.5	.022377623	.18051948	.0131233595800525	.2947368421052631	.3477070499657768	.0000407720176443	.0632792955317355	.293214218035591	.045346063	.44210526	.32925469	.0016655317	.057322405
36	180			270		7.7143407			.0008947855600123	.0000925640234496	-.0008022215365628	36	49	12.75	.16223776	.015584416	.0177165354330709	.2250712250712251	.3497016980266177	.0001459921247353	.0476198874524572	.293214218035591	.062052507	.33760685	.336779	.0059637595	.041563414
37	180			270		7.5480576			.0008870718913915	.0002931194075902	-.0005939524838013	37	49	13	.16083916	.049350649	.0091863517060367	.3736263736263736	.3631165117941387	.0000361382860708	.0867388271880109	.293214218035591	.031026253	.56043959	.3873831	.0014762443	.080931127
38	180			315		5.5179062			.0007713668620796	.0002236963900031	-.0005476704720765	38	49	13.25	.13986014	.037662338	.015748031496063	.1268115942028986	.3770410687778328	.0005116122051629	.0493253199876273	.293214218035591	.0548926	.19021739	.43991008	.020899292	.043279693
