id_i;Mean_Distance_km;Nodo;dominant_outward_orientation_1;dominant_outward_orientation_2;dominant_outward_orientation_3;dominant_inward_orientation_1;dominant_inward_orientation_2;dist_dominant_outward_1;dist_dominant_outward_2;dist_dominant_outward_3;InStrength;OutStrength;NetworkDivergence;id;lat;lon;normal_InStrength;normal_OutStrength;DegreeCentrality;Clustering;ClosenessCentrality;BetweennessCentrality;StructuralHolesConstraint;global_clustering;normal_Degree;normal_Clustering;normal_ClosenessCentrality;normal_BetweennessCentrality;normal_StructuralHolesConstraint;geometry;index_right;AREA;PERIMETER;BASINNAME;BASINCODE;OCEAN_1;BASINNAME2;SHAPE_Leng;SHAPE_Le_1;SHAPE_Area;community
1118;216,1870868;1118;0;;;135;;2,740691;;;0,000331688;0,000223696;-0,000107991;1118;44,5;8,75;0,06013986;0,03766234;0,017716535;0,284900285;0,358588235;5,27888E-05;0,048245386;0,293214218;0,062052507;0,42735043;0,37030128;0,002156416;0,04219289;POINT (8.75 44.5);27;2630,061099;327649,698;Po;510;Mediterranean Sea;;327649,698;327649,698;2630061099;1
1177;166,04692;1177;0;;;135;;3,633808;;;0,000655662;0,000115705;-0,000539957;1177;44,25;8,25;0,11888112;0,019480519;0,041338583;0,294930876;0,400210084;0,000363956;0,025545727;0,293214218;0,14797136;0,4423963;0,5273095;0,014867572;0,019348878;POINT (8.25 44.25);27;2630,061099;327649,698;Po;510;Mediterranean Sea;;327649,698;327649,698;2630061099;1
1058;237,6604763;1058;180;;;0;;3,6953328;;;0,000570811;0,00054767;-2,3141E-05;1058;44,75;9;0,10349651;0,09220779;0,053149606;0,29537037;0,41719135;0,000641886;0,021211283;0,293214218;0,19093078;0,44305557;0,5913672;0,02622098;0,01498687;POINT (9 44.75);33;1056,985639;215243,9233;Po;510;Mediterranean Sea;;215243,9233;215243,9233;1056985639;1
1060;289,859977;1060;180;;;0;;4,403168;;;0,002452947;8,48504E-05;-0,002368096;1060;44,75;9,5;0,44475526;0,014285714;0,092519685;0,181560284;0,464209564;0,00492834;0,012468271;0,293214218;0,3341289;0,27234042;0,76873183;0,20132206;0,006188259;POINT (9.5 44.75);23;984,3124445;243763,9567;Po;510;Mediterranean Sea;;243763,9567;243763,9567;984312444,5;2
1120;268,7157299;1120;180;;;0;;4,5548706;;;0,001658439;0,000185128;-0,001473311;1120;44,5;9,25;0,3006993;0,031168832;0,07480315;0,142679708;0,467628107;0,003906906;0,012700906;0,293214218;0,26968974;0,21401957;0,7816275;0,1595966;0,006422373;POINT (9.25 44.5);23;984,3124445;243763,9567;Po;510;Mediterranean Sea;;243763,9567;243763,9567;984312444,5;0
1063;189,7240306;1063;45;;;0;135;4,438281;;;0,000362542;0,000362542;0;1063;44,75;10,25;0,06573427;0,06103896;0,066929134;0,243836148;0,456697633;0,001214398;0,014669173;0,293214218;0,24105012;0,36575422;0,7403949;0,049608003;0,008403157;POINT (10.25 44.75);46;2595,088932;343585,8152;Po;510;Mediterranean Sea;;343585,8152;343585,8152;2595088932;2
1064;225,995354;1064;0;;;135;;5,844336;;;0,000131132;0,001743289;0,001612157;1064;44,75;10,5;0,023776224;0,2935065;0,050524934;0,235133288;0,447971781;0,000700429;0,01659214;0,293214218;0,18138425;0,35269994;0,70747876;0,028612416;0,010338353;POINT (10.5 44.75);46;2595,088932;343585,8152;Po;510;Mediterranean Sea;;343585,8152;343585,8152;2595088932;2
1123;225,1653116;1123;315;;;135;;3,5285645;;;0,003224313;3,08547E-05;-0,003193459;1123;44,5;10;0,5846154;0,005194805;0,098425197;0,210022371;0,474175482;0,003757541;0,013131298;0,293214218;0,35560858;0,31503356;0,8063258;0,15349507;0,006855501;POINT (10 44.5);46;2595,088932;343585,8152;Po;510;Mediterranean Sea;;343585,8152;343585,8152;2595088932;1
1124;323,4202365;1124;0;;;0;;5,1960344;;;0,000262265;0,001735575;0,001473311;1124;44,5;10,25;0,047552448;0,29220778;0,093175853;0,220057936;0,474027994;0,003612475;0,013045922;0,293214218;0,33651552;0,33008692;0,80576944;0,14756912;0,006769583;POINT (10.25 44.5);46;2595,088932;343585,8152;Po;510;Mediterranean Sea;;343585,8152;343585,8152;2595088932;2
1125;300,518093;1125;180;;;0;;4,5306334;;;0,000223696;0,001596729;0,001373033;1125;44,5;10,5;0,04055944;0,26883116;0,07152231;0,221882433;0,466625842;0,001897363;0,013682538;0,293214218;0,25775656;0,33282366;0,77784663;0,077507034;0,007410247;POINT (10.5 44.5);46;2595,088932;343585,8152;Po;510;Mediterranean Sea;;343585,8152;343585,8152;2595088932;2
1111;224,3529465;1111;180;;;315;;1,9923552;;;0,000501388;0,00054767;4,6282E-05;1111;44,5;7;0,09090909;0,09220779;0,044619423;0,190517998;0,400736261;0,000750101;0,02070656;0,293214218;0,15990454;0,285777;0,5292944;0,030641548;0,014478937;POINT (7 44.5);19;991,2488407;269279,348;Po;510;Mediterranean Sea;;269279,348;269279,348;991248840,7;1
1112;208,3473186;1112;180;;;0;;2,4104905;;;0,000470534;0,000192842;-0,000277692;1112;44,5;7,25;0,08531468;0,032467533;0,043963255;0,337856174;0,399580493;0,000341582;0,025616067;0,293214218;0,1575179;0,50678426;0,52493453;0,013953563;0,019419665;POINT (7.25 44.5);19;991,2488407;269279,348;Po;510;Mediterranean Sea;;269279,348;269279,348;991248840,7;1
1113;163,5006351;1113;0;;;0;;5,029476;;;0,000200555;0,000748226;0,00054767;1113;44,5;7,5;0,036363635;0,12597403;0,028215223;0,248062016;0,399057345;0,00023146;0,031380402;0,293214218;0,100238666;0,37209302;0,5229611;0,009455097;0,025220657;POINT (7.5 44.5);19;991,2488407;269279,348;Po;510;Mediterranean Sea;;269279,348;269279,348;991248840,7;1
1114;170,2494515;1114;315;;;0;;4,882453;;;0,000285406;0,000308547;2,3141E-05;1114;44,5;7,75;0,051748253;0,051948052;0,044619423;0,312554873;0,401686874;0,000349722;0,024812059;0,293214218;0,15990454;0,4688323;0,5328803;0,014286114;0,018610545;POINT (7.75 44.5);7;1405,454297;324444,6651;Po;510;Mediterranean Sea;;324444,6651;324444,6651;1405454297;1
1172;185,94051;1172;0;;;0;;7,857299;;;0,000370256;0,000138846;-0,00023141;1172;44,25;7;0,06713287;0,023376623;0,022309711;0,153297683;0,391371341;0,000186999;0,034087565;0,293214218;0,07875895;0,22994652;0,4939675;0,007638882;0,027945036;POINT (7 44.25);7;1405,454297;324444,6651;Po;510;Mediterranean Sea;;324444,6651;324444,6651;1405454297;1
1173;170,7136343;1173;0;;;0;;5,4675736;;;9,2564E-05;0,000732799;0,000640234;1173;44,25;7,25;0,016783217;0,12337662;0,028871391;0,244186047;0,395023328;0,00043835;0,03112625;0,293214218;0,102625296;0,36627907;0,5077437;0,01790652;0,02496489;POINT (7.25 44.25);7;1405,454297;324444,6651;Po;510;Mediterranean Sea;;324444,6651;324444,6651;1405454297;1
1174;151,5711552;1174;135;;;0;;2,7235622;;;0,000347115;0,000285406;-6,17093E-05;1174;44,25;7,5;0,062937066;0,04805195;0,030839895;0,316373728;0,383685801;0,000167459;0,031809441;0,293214218;0,1097852;0,4745606;0,46497568;0,006840675;0,025652425;POINT (7.5 44.25);7;1405,454297;324444,6651;Po;510;Mediterranean Sea;;324444,6651;324444,6651;1405454297;1
1115;178,8606217;1115;315;;;0;;4,643539;;;0,00098735;1,54273E-05;-0,000971922;1115;44,5;8;0,17902099;0,002597403;0,057742782;0,264890282;0,413456321;0,000922057;0,020174876;0,293214218;0,20763724;0,3973354;0,57727766;0,037665892;0,013943872;POINT (8 44.5);56;1789,041806;245132,7029;Po;510;Mediterranean Sea;;245132,7029;245132,7029;1789041806;1
1175;158,4744681;1175;0;;;135;;4,432325;;;0,000401111;0,000192842;-0,000208269;1175;44,25;7,75;0,07272727;0,032467533;0,046587927;0,257142857;0,39926644;0,000396416;0,023060145;0,293214218;0,16706444;0,3857143;0,5237498;0,016193533;0,01684749;POINT (7.75 44.25);56;1789,041806;245132,7029;Po;510;Mediterranean Sea;;245132,7029;245132,7029;1789041806;1
1176;201,0440137;1176;45;90;225;0;;1,0798991;1,5;0,70710677;0,000393397;6,17093E-05;-0,000331688;1176;44,25;8;0,07132867;0,01038961;0,024934383;0,295874822;0,360113422;8,28108E-05;0,036558531;0,293214218;0,08830549;0,44381222;0,37605467;0,00338281;0,030431716;POINT (8 44.25);56;1789,041806;245132,7029;Po;510;Mediterranean Sea;;245132,7029;245132,7029;1789041806;1
